date,avg_deaths_all,avg_deaths_sion,n_games_sion
9/15/2018,6.1196,5.681418035,8406
9/16/2018,6.1091,5.610076915,8971
9/17/2018,6.0886,5.571024553,7779
9/18/2018,6.0908,5.628602354,7391
9/19/2018,6.0692,5.521583212,7529
9/20/2018,6.0918,5.550458716,7739
9/21/2018,6.0984,5.575203252,7872
9/22/2018,6.0903,5.611186476,9583
9/23/2018,6.0798,5.556759953,10148
9/24/2018,6.1063,5.544998207,8367
9/25/2018,6.0942,5.548916925,8402
9/26/2018,6.0801,5.516783974,7388
9/27/2018,6.0695,5.545618557,7760
9/28/2018,6.0771,5.557103064,8616
9/29/2018,6.0939,5.498608846,10423
9/30/2018,6.0792,5.512003001,10664
10/1/2018,6.0975,5.509401709,8190
10/2/2018,6.0633,5.472195474,8308
10/3/2018,6.0557,5.780631354,7476
10/4/2018,6.0557,6.091617357,10140
10/5/2018,6.0664,6.33901863,11433
10/6/2018,6.0859,6.350870315,12754
10/7/2018,6.0469,6.554856791,14629
10/8/2018,6.0414,6.786166008,15180
10/9/2018,6.0214,6.835393882,12618
10/10/2018,6.0061,6.885883691,12312
10/11/2018,6.001,6.879657822,13794
10/12/2018,5.9618,6.749674412,14589
10/13/2018,5.9118,6.68648619,18248
10/14/2018,5.9264,6.686263583,17945
10/15/2018,5.94,6.581740977,15072
10/16/2018,5.9286,6.556747638,14820
10/17/2018,5.9498,6.434752121,14261
10/18/2018,5.9692,6.431843617,13403
10/19/2018,5.9697,6.338278069,13752
10/20/2018,5.9812,6.393471348,15409
10/21/2018,5.9729,6.359530201,14900
10/22/2018,5.9792,6.260165159,12715
10/23/2018,5.9535,6.202219683,12254
10/24/2018,5.9827,6.365347885,10995
10/25/2018,5.9951,6.347388513,11526
10/26/2018,6.0056,6.430617027,11523
10/27/2018,6.0116,6.522648084,13202
10/28/2018,6.0034,6.75357386,13221
10/29/2018,6.0151,6.790596745,11060
10/30/2018,5.9973,6.795883206,11028
10/31/2018,5.9928,6.724935239,10423
11/1/2018,6.0078,6.680501253,9975
11/2/2018,6.0163,6.641741284,10498
11/3/2018,6.0257,6.473463583,13359
11/4/2018,5.9988,6.540695798,15493
11/5/2018,5.99,6.53509342,12310
11/6/2018,5.9656,6.583622217,12981
11/7/2018,5.9329,6.689454115,11834
11/8/2018,5.9048,6.596064912,11893
11/9/2018,5.9344,6.623155158,13077
11/10/2018,5.9366,6.569282137,14975
11/11/2018,5.877,6.570214147,15410
11/12/2018,5.8658,6.58229249,12650
11/13/2018,6.2644,7.149675449,5238
11/14/2018,6.3662,7.339405941,5050
11/15/2018,6.3835,7.328018666,5143
11/16/2018,6.3849,7.277325251,5279
11/17/2018,6.3932,7.260998904,6387
11/18/2018,6.3714,7.214252803,6511
11/19/2018,6.3875,7.293706294,5577
11/20/2018,6.431,7.165252603,5186
11/21/2018,6.4535,7.2058876,5605
11/22/2018,6.4121,7.104491292,5455
11/23/2018,6.3965,6.980772752,5461
